Company Name,Industry/Category,Website URL,Contact Number,Location/Address,Company Description
Geeks On Site,Computers & Computer Equipment-Service & Repair,N/A,N/A,"Durham, NC 27707",N/A
Firestone Complete Auto Care,Automobile Parts & SuppliesAutomotive Tune Up ServiceTire Dealers,https://local.firestonecompleteautocare.com/north-carolina/durham/3809-n-duke-st/?lw_cmp=IYP_YPC_MLP_28282,(919) 246-5852,"Durham, NC 27704","From Business: Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations…"
Firestone Complete Auto Care,Tire DealersAutomobile Parts & SuppliesMufflers & Exhaust Systems,https://local.firestonecompleteautocare.com/north-carolina/durham/4126-university-dr/?lw_cmp=IYP_YPC_MLP_17345,(919) 323-3697,"Durham, NC 27707","From Business: Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations…"
Firestone Complete Auto Care,Brake RepairWheel Alignment-Frame & Axle Servicing-AutomotiveAutomobile Diagnostic Service,https://local.firestonecompleteautocare.com/north-carolina/durham/5115-nc-55/?lw_cmp=IYP_DEX_ESS_347829,(919) 323-4015,"Durham, NC 27713","From Business: Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations…"
Iron Mountain - Durham,Records DestructionPaper Shredding MachinesPaper-Shredded,https://locations.ironmountain.com/nc/durham/IM071/?utm_source=yellow_pages&utm_medium=paid_referral&utm_campaign=YP+Records+Management,(984) 888-8002,"Durham, NC 27703","From Business: With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the…"
Commercial & Scientific Refrigeration,Refrigeration Equipment-Commercial & IndustrialAir Conditioning Contractors & SystemsMajor Appliances,http://www.csr-rtp.com,(919) 361-5129,"Durham, NC 27713","From Business: Licensed and Insured. Commercial Services and Products, Scientific Services and Residential Services. We do all types of Service, Installation and Repairs of…"
Craige Motor Company,Used Car DealersWholesale Used Car DealersAuto Repair & Service,N/A,(919) 815-0000,"Durham, NC 27707","The most helpful and truthful people I've ever bought a car from. The car want perfect but they were honest up front."""
Precision Tune Auto Care of Durham,Automobile Inspection Stations & ServicesBrake RepairAutomobile Diagnostic Service,http://www.precisiontune.com/DurhamNC_Highway54,(919) 544-9600,"Durham, NC 27713","From Business: Precision Tune Auto Care is the fast, convenient & affordable solution to all your car repair & routine vehicle maintenance needs. Our certified technicians will…"
Rollingview Marina Inc,MarinasBoat CleaningBoat Rental & Charter,http://www.rollingviewmarina.com,(919) 596-2194,"Durham, NC 27703","From Business: Rollingview Marina is a family owned and operated marina nestled on scenic Falls Lake in the Piedmont Triangle area of North Carolina, and a short drive from…"
Alternative Aire Inc,Air Conditioning Service & RepairAir Conditioning Contractors & SystemsHeating Contractors & Specialties,https://alternativeaire.com,(919) 404-9040,"Durham, NC 27705","From Business: We're a full-service heating and Air conditioning Service company serving the Triangle area (Raleigh, Durham, Cary). We offer heating and AC repairs, new system…"
Progressive Water Solutions LLC,Water Filtration & Purification EquipmentWater Softening & Conditioning Equipment & ServiceWater Treatment Equipment-Service & Supplies,https://cleanyourwater.com,(919) 403-2100,"Durham, NC 27705","From Business: When you are looking for clean, pure water for your family in Durham, North Carolina, you will need the help of our experts here at Progressive Water Solutions…"
Restoration 1 of Durham-Greensboro,Water Damage RestorationMold RemediationFire & Water Damage Restoration,https://restoration1.com/durham-greensboro/?utm_medium=yext&utm_source=extnet,(919) 372-4752,"Durham, NC 27704",From Business: Restoration 1 of Durham Greensboro is a team of property restoration experts and immediate responders who help homeowners after disaster strikes. Call us for all…
Premier Painting & Home Improvement,Home Repair & MaintenanceBuilding Contractors-Commercial & IndustrialPaint Removing,http://www.premierpaintingandhomeimprovement,(919) 815-4303,"Durham, NC 27703","From Business: Premier Painting & Home Improvement delivers full-service solutions for all your painting and home improvement needs. With years of experience, weve established…"
The UPS Store,Mail & Shipping ServicesCopying & Duplicating ServiceShipping Services,http://theupsstorelocal.com/5399,(919) 806-5084,"Durham, NC 27713","From Business: UPS store,Volume Discounts,Ups Shipping & Other Carrier Service,Shipping And Packing Services,Packaging & Other Carrier Services,Low Shipping & Packing Rates &…"
Hendrick Chevrolet Buick GMC Cadillac Southpoint,New Car DealersUsed Car DealersAuto Repair & Service,http://www.hendrickgmsouthpoint.com,(919) 888-4896,"Durham, NC 27713","Attempted to purchase new 2020 Chevrolet truck.  I agreed to a price, signed an initialed the paperwork, I cleaned out my vehicle, only to have the salesman tell me there was a…"
Hilldrup Moving & Storage,Movers & Full Service StorageMoving Services-Labor & MaterialsMovers,http://www.hilldrup.com,(919) 629-1605,"Durham, NC 27713",From Business: Our moving and storage specialists in Raleigh-Durham have been providing the region with award-winning moving and storage services for more than two decades. Put…
Triangle Veterinary Referral Hospital,VeterinariansVeterinary Clinics & HospitalsVeterinarian Emergency Services,http://appliancerepairschicago.org,(919) 489-0615,"Durham, NC 27705",From Business: Triangle Veterinary Referral Hospital caters to the needs of primary care veterinarians and pet owners. It serves its clients pet emergency and specialized…
Sitar Indian Cuisine,Party & Event PlannersParty PlanningRestaurants,http://www.sitar-indiancuisine.com,(919) 490-1326,"Durham, NC 27707",This is the restaurant that started my love affair with Indian food. Everything at Sitar is phenomenal. I've eaten at one or two places since that may have been as good (or…
Grateful Trees and Bees,ArboristsFirewoodTree Service,http://gratefultreesandbees.com,(919) 889-3242,"Durham, NC 27713",I have nothing but positive things to say about my experience with Jake and Grateful Trees and Bees. Jake and his crew removed 10 Loblolly pines from my back yard and…
Piedmont Metro Heating & Air,Air Conditioning Contractors & SystemsAir Duct CleaningDuct Cleaning,http://www.piedmontmetro.com,(919) 544-9767,"Durham, NC 27709","They helped me out a lot and did a wonderful job. Prices were great and they did it very quickly. Was in and out.   Thank you!!"""
Colonial Townhouse Apartments,Real Estate ManagementReal Estate AgentsReal Estate Rental Service,http://www.gscapts.com,(888) 511-8820,"Durham, NC 27707",I have lived at colonial for over a year nad I have been very pleased with my apartment. The people in the office are always nice and friendly. I am truly beleiving that the…
Jake's Transmissions,Auto TransmissionAuto Repair & ServiceAutomobile Parts & Supplies,N/A,(919) 383-2183,"Durham, NC 27705",I WANT TO APPOLOGIZE FOR MY MESSAGE!!  THAT WAS NOT THE TIME OR PLACE FOR IT!!!!  I AM SORRY!!!!                                                       THANKS AGAIN      LOVE…
Willowdaile Family Dentistry,Cosmetic DentistryDentistsProsthodontists & Denture Centers,http://www.willowdailedentistry.com,(919) 479-5800,"Durham, NC 27705","Super friendly staff. Great dental work, the best place to go for fearfull patiences. I felt right at home."""
Michael Edits,ProofreadingEditorial & Publication Services,http://www.michaeledits.com,(704) 737-5220,"Durham, NC 27707","Not only are the edits fast and affordable, but they're perfect every time."""
LimBionics of Durham,Back Care Products & ServicesMedical ClinicsOrthopedic Shoe Dealers,http://www.limbionicsofdurham.com,(919) 908-8975,"Durham, NC 27713",I have been to many clinics and never been as pleased with how I was treated. Brittany is very intelligent and kind. She made sure I was happy and understood the plan for my…
Midas Auto Service Experts,Auto Repair & ServiceAutomobile Parts & SuppliesBrake Repair,https://www.midas.com/raleigh/store.aspx?shopnum=3166&dmanum=716001,(919) 493-5441,"Durham, NC 27707",From Business: Your Neighborhood Midas: Most Midas stores are owned and operated by families in your community dedicated to providing high quality auto repair service at a fair…
Tyson Animal Hospital,Veterinarian Emergency ServicesVeterinariansVeterinary Clinics & Hospitals,http://www.tysonanimalhospital.com,(919) 544-8297,"Durham, NC 27713","Do not take your pet here! More than once, I was quoted one price, and then charged much more once treatment had been completed. I was told that all tests were included in the…"
J & D Recyclers,MetalsElectric Equipment & SuppliesCopper,http://jdrecyclers.com,(919) 371-6221,"Durham, NC 27704","From Business: J&D Recyclers buys a variety of metal items. We also offer limited pick-up to companies with larger loads, utilizing a crane truck with trailer, a 24-foot box…"
"Elite Painting Services, LLC",Handyman ServicesPower WashingDeck Cleaning & Treatment,N/A,(919) 403-7939,"Durham, NC 27707",From Business: We carry general liability insurance and workers' compensation.
Impact Training,Health & Fitness Program ConsultantsComputer Online ServicesPersonal Fitness Trainers,N/A,(984) 219-6949,"Durham, NC 27717","From Business: Impact Training is online Personal Training that delivers RESULTS. Bringing personalized coaching to you via Skype, virtual tool and EBooks!"
Davis Chiropractic Ctr,Chiropractors & Chiropractic Services,N/A,(919) 477-0497,"Durham, NC 27704","From Business: We're glad you asked! Chiropractic care is a drug-free, non-surgical approach to healing and wellness. Chiropractic care restores health and prevents injury by…"
